Ee [W/sqm] (280-315nm),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ee [W/sqm] (315-400nm),0.00E+00,0.00E+00,2.67E-06,8.72E-05,6.68E-05,8.21E-04,0.00E+00,0.00E+00,1.33E-08,2.40E-06,2.66E-04,5.10E-05
PE [%] (CIE2006 2° Schanda-Csuti mod.),36.5,89.2,93.7,94.6,94.7,94.8,37.9,87,97.6,98.7,98.8,98.8
PE [%] (CIE2006 2°),41.3,89.7,93.8,94.7,94.7,94.8,25.5,83.8,97.1,98.5,98.7,98.7
PE [%] (CIE2006 10°),42.9,90.3,94.2,94.9,95,95.1,25.6,83.1,96.9,98.4,98.6,98.6
PE [%] (CIE2006 2° TU Ilmenau mod.),38.8,89.4,93.7,94.6,94.7,94.8,32,85.6,97.4,98.6,98.8,98.8
PE [%] (CIE2006 10° TU Ilmenau mod.),40.5,90.1,94.1,95,95,95.1,32.7,85.1,97.2,98.5,98.7,98.7
,,,,,,,,,,,,
Chrom. Coord. (CIE1931 2°),,,,,,,,,,,,
x,0.2385,0.1709,0.167,0.1672,0.1674,0.1667,0.3424,0.5262,0.57,0.5748,0.5747,0.573
y,0.2294,0.0533,0.0362,0.0321,0.0317,0.0317,0.3853,0.4118,0.4184,0.419,0.4202,0.4217
u',0.1808,0.2073,0.2155,0.2192,0.2198,0.2188,0.1974,0.3056,0.3314,0.3343,0.3335,0.3314
v',0.3913,0.1454,0.1051,0.0947,0.0936,0.0937,0.4997,0.538,0.5473,0.5482,0.5486,0.5489
Chrom. Coord. (CIE1964 10°),,,,,,,,,,,,
x,0.2385,0.1659,0.1617,0.1619,0.1621,0.1614,0.3501,0.5345,0.5792,0.5841,0.5841,0.5826
y,0.244,0.0715,0.0545,0.0497,0.0492,0.0496,0.3966,0.4078,0.4103,0.4104,0.4113,0.4127
u',0.175,0.1882,0.1942,0.1979,0.1985,0.1973,0.1984,0.3133,0.3425,0.3458,0.3452,0.3433
v',0.4028,0.1825,0.1473,0.1368,0.1355,0.1365,0.5056,0.5378,0.5458,0.5467,0.547,0.5473
Chrom. Coord. (Judd-Vos 1978 2°),,,,,,,,,,,,
x,0.2485,0.1763,0.1719,0.1719,0.172,0.1714,0.3514,0.5284,0.5691,0.5736,0.5733,0.5716
y,0.2524,0.0646,0.0456,0.0409,0.0403,0.0405,0.4025,0.4169,0.4206,0.4209,0.4219,0.4235
u',0.1797,0.2061,0.2146,0.2185,0.2191,0.2181,0.1972,0.3043,0.3295,0.3323,0.3315,0.3295
v',0.4106,0.1699,0.1281,0.1169,0.1156,0.1159,0.5083,0.5402,0.5479,0.5487,0.549,0.5493
Chrom. Coord. (CIE2006 2° Schanda-Csuti mod.),,,,,,,,,,,,
x,0.2483,0.1674,0.1625,0.1624,0.1625,0.1619,0.3655,0.5358,0.5726,0.5765,0.5762,0.5746
y,0.2636,0.0696,0.0507,0.0453,0.0446,0.045,0.4274,0.4209,0.4193,0.419,0.4199,0.4214
u',0.1753,0.1913,0.198,0.2018,0.2025,0.2013,0.1977,0.3071,0.3326,0.3355,0.3347,0.3327
v',0.4187,0.179,0.1391,0.1266,0.125,0.126,0.52,0.5428,0.548,0.5485,0.5488,0.549
Chrom. Coord. (CIE2006 2°),,,,,,,,,,,,
x,0.2382,0.1607,0.1559,0.1556,0.1558,0.1552,0.3526,0.532,0.5728,0.5773,0.5771,0.5755
y,0.2428,0.0649,0.0477,0.0433,0.0428,0.043,0.3991,0.4139,0.4174,0.4176,0.4186,0.4201
u',0.1752,0.1859,0.1912,0.1941,0.1946,0.1936,0.1991,0.3083,0.3339,0.3368,0.336,0.3341
v',0.4019,0.1689,0.1316,0.1214,0.1203,0.1207,0.507,0.5397,0.5474,0.5481,0.5485,0.5487
Chrom. Coord. (CIE2006 10°),,,,,,,,,,,,
x,0.2372,0.1643,0.1601,0.1603,0.1606,0.1599,0.3522,0.5376,0.5823,0.5872,0.5872,0.5857
y,0.2443,0.0739,0.0573,0.0526,0.0521,0.0526,0.3996,0.4061,0.4074,0.4073,0.4083,0.4097
u',0.1739,0.1847,0.1902,0.1937,0.1944,0.1931,0.1987,0.3163,0.3464,0.3499,0.3493,0.3473
v',0.4029,0.1868,0.1531,0.1431,0.1418,0.1428,0.5072,0.5376,0.5453,0.5461,0.5464,0.5467
Chrom. Coord. (CIE2006 2° TU Ilmenau mod.),,,,,,,,,,,,
x,0.2415,0.159,0.1539,0.1536,0.1537,0.1531,0.3601,0.5346,0.5729,0.5771,0.5768,0.5753
y,0.2534,0.0674,0.0494,0.0445,0.0439,0.0442,0.413,0.4173,0.4182,0.4182,0.4191,0.4206
u',0.1738,0.1822,0.1873,0.1904,0.191,0.19,0.1991,0.3082,0.3334,0.3363,0.3356,0.3337
v',0.4103,0.1739,0.1353,0.124,0.1226,0.1233,0.5137,0.5413,0.5477,0.5483,0.5486,0.5489
Chrom. Coord. (CIE2006 10° TU Ilmenau mod.),,,,,,,,,,,,
x,0.2411,0.1651,0.1609,0.1611,0.1613,0.1606,0.3598,0.5394,0.5813,0.5858,0.5857,0.5842
y,0.2546,0.0762,0.0588,0.0535,0.0528,0.0535,0.4157,0.411,0.4094,0.4091,0.4099,0.4113
u',0.173,0.1843,0.1901,0.1941,0.1949,0.1935,0.198,0.3148,0.3444,0.3478,0.3472,0.3453
v',0.4112,0.1913,0.1564,0.1451,0.1436,0.1449,0.5147,0.5397,0.5459,0.5465,0.5467,0.547
,,,,,,,,,,,,
XYZ (CIE1931 2°),,,,,,,,,,,,
