F540,,
Wavelength (nm),%T,
2246,2.121249914,
2245,2.432607174,
2244,3.04955411,
2243,3.367986441,
2242,3.466514826,
2241,4.25438118,
2240,4.722858429,
2239,5.180175781,
2238,5.806322098,
2237,6.385941982,
2236,6.941919804,
2235,7.610137939,
2234,8.38640976,
2233,9.138991356,
2232,9.895493507,
2231,10.89434719,
2230,11.55688572,
2229,12.35123253,
2228,13.31441116,
2227,14.14295769,
2226,15.17502403,
2225,16.00959778,
2224,17.00568199,
2223,18.07971573,
2222,18.95479202,
2221,19.88981438,
2220,20.85064507,
2219,21.94793892,
2218,22.85383987,
2217,24.01525116,
2216,24.97797966,
2215,26.02207565,
2214,26.94996262,
2213,27.82448578,
2212,28.67148781,
2211,29.56846046,
2210,30.51285362,
2209,31.41631508,
2208,32.13327026,
2207,32.93437195,
2206,33.74738312,
2205,34.46676254,
2204,35.05994415,
2203,35.68571854,
2202,36.30408478,
2201,36.81561279,
2200,37.30848312,
2199,37.87837601,
2198,38.47745514,
2197,38.86813354,
2196,39.27626419,
2195,39.54740906,
2194,39.89906693,
2193,40.21392822,
2192,40.60417175,
2191,40.90256882,
2190,41.21358871,
2189,41.42775726,
2188,41.67152786,
2187,41.86332703,
2186,42.07715225,
2185,42.32303238,
2184,42.34357071,
2183,42.59877014,
2182,42.55398941,
2181,42.66589737,
2180,42.74328995,
2179,42.82680893,
2178,42.83943176,
2177,42.89319992,
2176,42.63570404,
2175,42.73908615,
2174,42.43719864,
2173,42.27339172,
2172,42.26314545,
2171,42.08592606,
2170,41.82126236,
2169,41.70949936,
2168,41.49454117,
2167,41.27986145,
2166,40.84875107,
2165,40.61452866,
2164,40.39696503,
2163,40.0669136,
2162,39.6631546,
2161,39.41648865,
2160,39.08797073,
2159,38.70707703,
2158,38.38282013,
2157,38.17887115,
2156,37.74076462,
2155,37.53360367,
2154,37.24335098,
2153,36.88508987,
2152,36.73099136,
2151,36.43172455,
2150,36.24892807,
2149,35.84972,
2148,35.57628632,
2147,35.48187256,
2146,35.39735413,
2145,34.93099976,
2144,34.75478745,
2143,34.4587059,
2142,34.31347275,
2141,33.87487411,
2140,33.79980469,
2139,33.28184128,
2138,33.07439423,
2137,32.68380356,
2136,32.3530159,
2135,32.05453873,
2134,31.70798683,
2133,31.31872749,
2132,30.88246346,
2131,30.61361313,
2130,30.15942001,
2129,29.9287014,
2128,29.58180046,
2127,29.19896889,
2126,28.89538383,
2125,28.64357758,
2124,28.46792412,
2123,28.16852379,
2122,28.0700531,
2121,27.96141815,
2120,27.88565826,
2119,27.93445587,
2118,27.97566414,
2117,28.09778976,
2116,28.23993301,
2115,28.55431366,
2114,28.69659615,
2113,29.20603371,
2112,29.60779381,
2111,30.06439209,
2110,30.52747917,
2109,31.0954895,
2108,31.79020309,
2107,32.51484299,
2106,33.0885849,
2105,33.97901535,
2104,34.7247963,
2103,35.41812515,
2102,36.15810776,
2101,37.16692352,
2100,37.91339493,
2099,38.79751587,
2098,39.7388916,
2097,40.52587509,
2096,41.37917709,
2095,42.33464813,
2094,43.00288391,
2093,43.97963715,
2092,44.6908226,
2091,45.36909103,
2090,45.94829178,
2089,46.67714691,
2088,47.34440613,
2087,47.88021851,
2086,48.48532867,
2085,48.90129852,
2084,49.39961243,
2083,49.78064728,
2082,50.13144684,
2081,50.53668213,
2080,50.78528976,
2079,51.28356171,
2078,51.50482559,
2077,51.65031052,
2076,51.83978271,
2075,52.01690674,
2074,52.13580322,
2073,52.29157639,
2072,52.41793823,
2071,52.55463791,
2070,52.63100815,
2069,52.69335556,
2068,52.82265091,
2067,52.90111923,
2066,52.94687271,
2065,53.12511444,
2064,53.16561508,
2063,53.157341,
2062,53.38929367,
2061,53.3837738,
2060,53.44632721,
2059,53.51703644,
2058,53.61676788,
2057,53.59019089,
2056,53.6663475,
2055,53.72685623,
2054,53.84175873,
2053,53.92466736,
2052,53.87391281,
2051,53.97053528,
2050,54.01261902,
2049,54.0913353,
2048,54.09032059,
2047,54.1225853,
2046,54.21006012,
2045,54.21317673,
2044,54.31595612,
2043,54.36676025,
2042,54.33592224,
2041,54.29150009,
2040,54.5703125,
2039,54.49105453,
2038,54.53527069,
2037,54.45889282,
2036,54.5826416,
2035,54.7228508,
2034,54.75445938,
2033,54.7659874,
2032,54.84009933,
2031,54.95445633,
2030,55.01415253,
2029,55.05840683,
2028,55.13916779,
2027,55.35812378,
2026,55.41156387,
2025,55.40692139,
2024,55.55517578,
2023,55.69393539,
2022,55.83612442,
2021,55.82847595,
2020,55.92789078,
2019,56.01153564,
2018,56.16403198,
2017,56.23804474,
2016,56.26744461,
2015,56.43725967,
2014,56.4261322,
2013,56.60800934,
2012,56.76965714,
2011,56.72587585,
2010,56.84723663,
2009,56.98900986,
2008,57.02415085,
2007,57.00081635,
2006,57.06270218,
2005,57.18580627,
2004,57.2023201,
2003,57.14015961,
2002,57.28913116,
2001,57.30849457,
