sample1,,
Wavelength (nm),%T,
2222,24.81870842,
2221,25.87195015,
2220,26.74022293,
2219,27.99501801,
2218,29.03011513,
2217,30.20684433,
2216,31.03813744,
2215,32.22829819,
2214,33.27160263,
2213,34.23170471,
2212,35.15341949,
2211,36.16275787,
2210,37.11204147,
2209,38.12899017,
2208,38.84595871,
2207,39.69028854,
2206,40.5489502,
2205,41.29842377,
2204,42.04433823,
2203,42.77217484,
2202,43.40179443,
2201,43.95311356,
2200,44.46969223,
2199,45.01896667,
2198,45.54001999,
2197,45.99625397,
2196,46.43561554,
2195,46.77858353,
2194,47.25074005,
2193,47.49811172,
2192,47.8710022,
2191,48.21315002,
2190,48.45148468,
2189,48.7717247,
2188,48.9290657,
2187,49.16103363,
2186,49.3297081,
2185,49.60569,
2184,49.60662079,
2183,49.75283813,
2182,49.8541069,
2181,49.93335342,
2180,49.98625946,
2179,49.95363998,
2178,50.05000687,
2177,49.89790726,
2176,49.72182465,
2175,49.79190063,
2174,49.47027206,
2173,49.36034775,
2172,49.1894722,
2171,49.00387192,
2170,48.77060699,
2169,48.50835037,
2168,48.25026321,
2167,47.97939682,
2166,47.64138412,
2165,47.38228989,
2164,47.02948761,
2163,46.84482956,
2162,46.34336472,
2161,45.93505096,
2160,45.55152512,
2159,45.47138214,
2158,45.06972504,
2157,44.88110352,
2156,44.5983963,
2155,44.28060913,
2154,43.91732788,
2153,43.73908997,
2152,43.48849487,
2151,43.31723404,
2150,42.99754715,
2149,42.748703,
2148,42.56454086,
2147,42.18188858,
2146,42.23993683,
2145,41.91738129,
2144,41.70832062,
2143,41.41325378,
2142,41.13806534,
2141,40.83338547,
2140,40.60541534,
2139,40.1667099,
2138,39.92969894,
2137,39.49150848,
2136,39.10126495,
2135,38.77793121,
2134,38.46878433,
2133,38.01522827,
2132,37.52986145,
2131,37.10190201,
2130,36.71762466,
2129,36.39945602,
2128,35.92921066,
2127,35.53338242,
2126,35.31307983,
2125,34.95146942,
2124,34.762146,
2123,34.38660049,
2122,34.3791008,
2121,34.18265533,
2120,34.12421799,
2119,34.06150436,
2118,34.24803925,
2117,34.40296173,
2116,34.30365753,
2115,34.7367897,
2114,34.90358353,
2113,35.4569931,
2112,35.85655212,
2111,36.39585495,
2110,36.85300446,
2109,37.45320511,
2108,38.24472046,
2107,38.97870255,
2106,39.58250809,
2105,40.44194031,
2104,41.30817795,
2103,42.09438324,
2102,43.11628723,
2101,44.02811813,
2100,44.9581337,
2099,45.74682236,
2098,46.76514816,
2097,47.63541412,
2096,48.64326096,
2095,49.59452057,
2094,50.33207703,
2093,51.2869606,
2092,52.12124634,
2091,52.83913422,
2090,53.49847031,
2089,54.23777771,
2088,54.9826622,
2087,55.48083878,
2086,56.1699028,
2085,56.53094101,
2084,57.00588989,
2083,57.44825745,
2082,57.9006424,
2081,58.25272751,
2080,58.51465988,
2079,58.89284134,
2078,59.12877274,
2077,59.35645294,
2076,59.58486176,
2075,59.82620239,
2074,59.85228348,
2073,60.09227753,
2072,60.1837616,
2071,60.34463501,
2070,60.47042465,
2069,60.52475739,
2068,60.58882904,
2067,60.73233032,
2066,60.75541306,
2065,60.91162491,
2064,60.99032593,
2063,60.99232483,
2062,61.13414001,
2061,61.12565231,
2060,61.17958832,
2059,61.38742065,
2058,61.50963974,
2057,61.4274025,
2056,61.53287125,
2055,61.60348129,
2054,61.66184998,
2053,61.7347374,
2052,61.79745102,
2051,61.85733795,
2050,62.07690811,
2049,61.97223663,
2048,62.0050087,
2047,62.05514145,
2046,62.09625626,
2045,62.18102646,
2044,62.28609085,
2043,62.22026443,
2042,62.26415634,
2041,62.26704025,
2040,62.50700378,
2039,62.39284897,
2038,62.57545853,
2037,62.5099411,
2036,62.49554062,
2035,62.64392853,
2034,62.70317459,
2033,62.77005768,
2032,62.86523438,
2031,63.02373886,
2030,62.9859848,
2029,63.08651733,
2028,63.13320923,
2027,63.37158203,
2026,63.31513596,
2025,63.38105011,
2024,63.54469681,
2023,63.63424683,
2022,63.68203735,
2021,63.79894638,
2020,63.93448257,
2019,64.06653595,
2018,64.0907135,
2017,64.2175827,
2016,64.260849,
2015,64.33610535,
2014,64.41978455,
2013,64.56326294,
2012,64.60370636,
2011,64.63910675,
2010,64.72748566,
2009,64.8356781,
2008,64.84623718,
2007,64.92147064,
2006,64.92061615,
2005,65.03826141,
2004,64.98535919,
2003,64.94623566,
2002,65.13516998,
2001,65.09776306,
2000,65.07004547,
1999,65.04262543,
1998,65.01603699,
1997,65.07984924,
1996,65.03213501,
1995,65.09281921,
1994,65.02403259,
1993,65.01732635,
1992,65.01010132,
1991,64.92744446,
1990,64.86096191,
1989,64.82497406,
1988,64.83886719,
1987,64.68593597,
1986,64.63455963,
1985,64.58227539,
1984,64.44692993,
1983,64.3673172,
1982,64.19635773,
1981,64.19929504,
1980,63.94889832,
1979,63.88738632,
1978,63.78961182,
1977,63.69254684,
1976,63.57691956,
1975,63.3620491,
1974,63.23551559,
1973,63.02577209,
1972,62.89237213,
1971,62.66661835,
1970,62.54444885,
1969,62.31916428,
1968,62.04247284,
1967,61.82170105,
1966,61.63961411,
1965,61.40515137,
1964,61.19114685,
1963,60.99652481,
1962,60.76043701,
1961,60.47241211,
1960,60.22618484,
1959,59.96346283,
1958,59.68491364,
1957,59.48255157,
1956,59.20972824,
1955,58.85167694,
1954,58.53800964,
1953,58.24800873,
1952,57.870121,
1951,57.60943985,
1950,57.28359985,
1949,56.86444092,
1948,56.60631561,
1947,56.24604797,
1946,55.88158417,
1945,55.44244003,
1944,55.09955215,
1943,54.66313171,
1942,54.34170532,
1941,53.99888229,
1940,53.48838425,
1939,53.19937515,
1938,52.67378616,
1937,52.34542465,
1936,51.80785751,
1935,51.4745636,
1934,50.94244385,
1933,50.42688751,
1932,50.00108337,
1931,49.46061325,
1930,48.98173141,
1929,48.44402313,
1928,47.95666504,
1927,47.36026001,
1926,46.72069168,
1925,46.21062469,
1924,45.65604019,
1923,45.03966904,
1922,44.42062759,
1921,43.82346725,
1920,43.17712402,
1919,42.61091232,
1918,42.01799774,
1917,41.45755386,
1916,40.9203186,
1915,40.54776001,
1914,40.1924324,
1913,39.86791229,
1912,39.71227264,
1911,39.46586609,
1910,39.42184448,
1909,39.4608078,
1908,39.63423538,
1907,39.82590103,
1906,40.14834595,
1905,40.6655159,
1904,41.17321777,
1903,41.75617218,
1902,42.49084473,
1901,43.25902939,
1900,44.12854004,
1899,45.14542389,
1898,46.06701279,
1897,47.08250809,
1896,47.97940063,
1895,49.12755966,
1894,50.05762482,
1893,51.00514221,
1892,52.11021423,
1891,52.96269226,
1890,53.89193726,
1889,54.79159927,
1888,55.59455109,
1887,56.32827377,
1886,57.06998825,
1885,57.77622604,
1884,58.4031601,
1883,58.99724197,
1882,59.54954529,
1881,60.05908203,
1880,60.41314697,
1879,60.86794281,
1878,61.21800995,
1877,61.49302673,
1876,61.938797,
1875,62.16175461,
1874,62.39482117,
1873,62.6150856,
1872,62.69963455,
1871,62.84823608,
1870,63.00001144,
1869,63.1425972,
1868,63.07986832,
1867,63.23487091,
1866,63.31071854,
1865,63.29036331,
1864,63.33439255,
1863,63.32331467,
1862,63.43848801,
1861,63.27801895,
1860,63.29944229,
1859,63.25259781,
1858,63.19060516,
1857,63.0182724,
1856,63.15958023,
1855,63.01690292,
1854,62.92605591,
1853,62.8384285,
1852,62.78510284,
1851,62.6958847,
1850,62.54728317,
1849,62.41766357,
1848,62.29212952,
1847,62.19223022,
1846,62.09930801,
1845,61.85891724,
1844,61.80406189,
1843,61.59133911,
1842,61.43545532,
1841,61.25354767,
1840,61.08379364,
1839,60.94709015,
1838,60.78475571,
1837,60.60087204,
1836,60.36158752,
1835,60.14813614,
1834,59.99812317,
1833,59.75130081,
1832,59.67812347,
1831,59.45589066,
1830,59.22608948,
1829,59.0148468,
1828,58.82481384,
1827,58.6059761,
1826,58.49318695,
1825,58.2452774,
1824,58.0302887,
1823,57.78090286,
1822,57.57981491,
1821,57.41501999,
1820,57.20991516,
1819,56.95252991,
1818,56.8061409,
1817,56.53747177,
1816,56.27419281,
1815,56.02245331,
1814,55.89433289,
1813,55.60018539,
1812,55.37171936,
1811,55.13954926,
1810,54.91033936,
1809,54.71235657,
1808,54.48755646,
1807,54.27583313,
1806,54.03672409,
1805,53.82884598,
1804,53.64170837,
1803,53.43719101,
1802,53.21582031,
1801,53.03714752,
1800,52.82598114,
1799,52.67484283,
1798,52.53267288,
1797,52.35446548,
1796,52.24499512,
1795,52.05033493,
1794,51.91701126,
1793,51.7843895,
1792,51.65921021,
1791,51.54994583,
1790,51.51766586,
1789,51.33055878,
1788,51.26595306,
1787,51.12242889,
1786,51.05115128,
1785,50.98651505,
1784,50.87667847,
1783,50.79816437,
1782,50.70856094,
1781,50.66831589,
1780,50.55566406,
1779,50.41545105,
1778,50.28602982,
1777,50.2371788,
1776,50.12886047,
1775,49.99038315,
1774,49.80255508,
1773,49.70183563,
1772,49.55504227,
1771,49.37765884,
1770,49.26222992,
1769,49.05179596,
1768,48.86745834,
1767,48.61717987,
1766,48.41891479,
1765,48.17373276,
1764,47.95874023,
1763,47.6717186,
1762,47.39825439,
1761,47.13955688,
1760,46.80305862,
1759,46.47065353,
1758,46.26290512,
1757,45.92451859,
1756,45.57208252,
1755,45.29280853,
1754,45.08593369,
1753,44.69272614,
1752,44.403759,
1751,44.08112335,
1750,43.83007813,
1749,43.51296997,
1748,43.26327515,
1747,42.95828247,
1746,42.71598434,
1745,42.42189407,
1744,42.07380295,
1743,41.85261536,
1742,41.53007889,
1741,41.22883224,
1740,40.90403748,
1739,40.53740692,
1738,40.15490341,
1737,39.80083847,
1736,39.43427658,
1735,39.04280853,
1734,38.56607437,
1733,38.12855911,
1732,37.70092773,
1731,37.22422028,
1730,36.74997711,
1729,36.39707947,
1728,35.81557083,
1727,35.41040039,
1726,35.06695175,
1725,34.72109604,
1724,34.42986298,
1723,34.14097214,
1722,33.98333359,
1721,33.85586166,
1720,33.80247879,
1719,33.80326843,
1718,33.90723038,
1717,33.99108505,
1716,34.29615402,
1715,34.46496582,
1714,34.73762131,
1713,35.11252975,
1712,35.54695892,
1711,36.03138733,
1710,36.47604752,
1709,36.93024826,
1708,37.50990677,
1707,37.94595337,
1706,38.59599686,
1705,39.08223724,
1704,39.69028854,
1703,40.28800964,
1702,40.97260666,
1701,41.47167206,
1700,42.14316177,
1699,42.81182098,
1698,43.40751266,
1697,44.06075287,
1696,44.62599945,
1695,45.36972427,
1694,45.98855209,
1693,46.57295609,
1692,47.09628677,
1691,47.79125977,
1690,48.28549194,
1689,48.83015442,
1688,49.48721695,
1687,49.86677933,
1686,50.38518143,
1685,50.90519333,
1684,51.42033768,
1683,51.92378235,
1682,52.51552582,
1681,53.02707672,
1680,53.59967422,
1679,54.34145355,
1678,55.0200119,
1677,55.85051727,
1676,56.68026352,
1675,57.56167603,
1674,58.65405655,
1673,59.63650513,
1672,60.72294235,
1671,62.03507233,
1670,63.14583969,
1669,64.37090302,
1668,65.7027359,
1667,66.89588928,
1666,68.1513443,
1665,69.30828094,
1664,70.58031464,
1663,71.66189575,
1662,72.6973114,
1661,73.83210754,
1660,74.69007111,
1659,75.64028168,
1658,76.46731567,
1657,77.17784882,
1656,77.878685,
1655,78.43307495,
1654,79.02680206,
1653,79.4997406,
1652,80.06885529,
1651,80.37675476,
1650,80.73408508,
1649,81.00382996,
1648,81.32684326,
1647,81.53077698,
1646,81.73675537,
1645,81.85764313,
1644,81.97409058,
1643,82.03553772,
1642,82.11003876,
1641,81.96935272,
1640,81.96294403,
1639,81.91253662,
1638,81.71562195,
1637,81.66527557,
1636,81.4318161,
1635,81.20001221,
1634,81.14328003,
1633,80.96559906,
1632,80.8875885,
1631,80.81864929,
1630,80.79608917,
1629,80.78925323,
